task,variant,schedule,chunk,N,K,threads,run,time,checksum
A,omp,guided,64,100000,28,1,1,2.588615,1836308420
A,omp,guided,64,100000,28,1,2,2.628104,1836308420
A,omp,guided,64,100000,28,1,3,2.611659,1836308420
A,omp,static,0,100000,28,2,1,1.322872,1836308420
A,omp,static,0,100000,28,2,2,1.361997,1836308420
A,omp,static,0,100000,28,2,3,1.348157,1836308420
A,omp,dynamic,1,100000,28,2,1,1.327053,1836308420
A,omp,dynamic,1,100000,28,2,2,1.322926,1836308420
A,omp,dynamic,1,100000,28,2,3,1.393935,1836308420
A,omp,dynamic,4,100000,28,2,1,1.330379,1836308420
A,omp,dynamic,4,100000,28,2,2,1.320920,1836308420
A,omp,dynamic,4,100000,28,2,3,1.320309,1836308420
A,omp,dynamic,16,100000,28,2,1,1.358721,1836308420
A,omp,dynamic,16,100000,28,2,2,1.324706,1836308420
A,omp,dynamic,16,100000,28,2,3,1.343039,1836308420
A,omp,dynamic,64,100000,28,2,1,1.361112,1836308420
A,omp,dynamic,64,100000,28,2,2,1.320777,1836308420
A,omp,dynamic,64,100000,28,2,3,1.321432,1836308420
A,omp,guided,1,100000,28,2,1,1.322384,1836308420
A,omp,guided,1,100000,28,2,2,1.356264,1836308420
A,omp,guided,1,100000,28,2,3,1.321945,1836308420
A,omp,guided,4,100000,28,2,1,1.323268,1836308420
A,omp,guided,4,100000,28,2,2,1.321535,1836308420
A,omp,guided,4,100000,28,2,3,1.387256,1836308420
A,omp,guided,16,100000,28,2,1,1.329741,1836308420
A,omp,guided,16,100000,28,2,2,1.321528,1836308420
A,omp,guided,16,100000,28,2,3,1.359336,1836308420
A,omp,guided,64,100000,28,2,1,1.322882,1836308420
A,omp,guided,64,100000,28,2,2,1.324798,1836308420
A,omp,guided,64,100000,28,2,3,1.318983,1836308420
A,omp,static,0,100000,28,4,1,0.698894,1836308420
A,omp,static,0,100000,28,4,2,0.691513,1836308420
A,omp,static,0,100000,28,4,3,0.686251,1836308420
A,omp,dynamic,1,100000,28,4,1,0.724394,1836308420
A,omp,dynamic,1,100000,28,4,2,0.699101,1836308420
A,omp,dynamic,1,100000,28,4,3,0.686038,1836308420
A,omp,dynamic,4,100000,28,4,1,0.693394,1836308420
A,omp,dynamic,4,100000,28,4,2,0.693737,1836308420
A,omp,dynamic,4,100000,28,4,3,0.730874,1836308420
A,omp,dynamic,16,100000,28,4,1,0.697958,1836308420
A,omp,dynamic,16,100000,28,4,2,0.696930,1836308420
A,omp,dynamic,16,100000,28,4,3,0.725447,1836308420
A,omp,dynamic,64,100000,28,4,1,0.702333,1836308420
A,omp,dynamic,64,100000,28,4,2,0.699635,1836308420
A,omp,dynamic,64,100000,28,4,3,0.701084,1836308420
A,omp,guided,1,100000,28,4,1,0.738672,1836308420
A,omp,guided,1,100000,28,4,2,0.703071,1836308420
A,omp,guided,1,100000,28,4,3,0.700653,1836308420
A,omp,guided,4,100000,28,4,1,0.708471,1836308420
A,omp,guided,4,100000,28,4,2,0.706016,1836308420
A,omp,guided,4,100000,28,4,3,0.703164,1836308420
A,omp,guided,16,100000,28,4,1,0.711528,1836308420
A,omp,guided,16,100000,28,4,2,0.770748,1836308420
A,omp,guided,16,100000,28,4,3,0.703909,1836308420
A,omp,guided,64,100000,28,4,1,0.711144,1836308420
A,omp,guided,64,100000,28,4,2,0.709027,1836308420
A,omp,guided,64,100000,28,4,3,0.707994,1836308420
A,omp,static,0,100000,28,8,1,0.535050,1836308420
A,omp,static,0,100000,28,8,2,0.526770,1836308420
A,omp,static,0,100000,28,8,3,0.537426,1836308420
A,omp,dynamic,1,100000,28,8,1,0.526064,1836308420
A,omp,dynamic,1,100000,28,8,2,0.525323,1836308420
A,omp,dynamic,1,100000,28,8,3,0.552258,1836308420
A,omp,dynamic,4,100000,28,8,1,0.525144,1836308420
A,omp,dynamic,4,100000,28,8,2,0.539927,1836308420
A,omp,dynamic,4,100000,28,8,3,0.535755,1836308420
A,omp,dynamic,16,100000,28,8,1,0.522632,1836308420
A,omp,dynamic,16,100000,28,8,2,0.535871,1836308420
A,omp,dynamic,16,100000,28,8,3,0.547155,1836308420
A,omp,dynamic,64,100000,28,8,1,0.533968,1836308420
A,omp,dynamic,64,100000,28,8,2,0.565388,1836308420
A,omp,dynamic,64,100000,28,8,3,0.527333,1836308420
A,omp,guided,1,100000,28,8,1,0.566734,1836308420
A,omp,guided,1,100000,28,8,2,0.526712,1836308420
A,omp,guided,1,100000,28,8,3,0.547710,1836308420
A,omp,guided,4,100000,28,8,1,0.523579,1836308420
A,omp,guided,4,100000,28,8,2,0.542215,1836308420
A,omp,guided,4,100000,28,8,3,0.576703,1836308420
A,omp,guided,16,100000,28,8,1,0.531946,1836308420
A,omp,guided,16,100000,28,8,2,0.531982,1836308420
A,omp,guided,16,100000,28,8,3,0.532738,1836308420
A,omp,guided,64,100000,28,8,1,0.538977,1836308420
A,omp,guided,64,100000,28,8,2,0.570796,1836308420
A,omp,guided,64,100000,28,8,3,0.532658,1836308420
A,omp,static,0,100000,28,16,1,0.529638,1836308420
A,omp,static,0,100000,28,16,2,0.533884,1836308420
A,omp,static,0,100000,28,16,3,0.589309,1836308420
A,omp,dynamic,1,100000,28,16,1,0.529197,1836308420
A,omp,dynamic,1,100000,28,16,2,0.536836,1836308420
A,omp,dynamic,1,100000,28,16,3,0.528867,1836308420
